column,unit,provenance_class,non_null_503,non_null_500_primary,pct_of_503
fcf_musd,USD millions,vendor,470,467,93.4
beta_x,x,vendor,497,494,98.8
revenue_ttm_musd_check,USD millions,vendor,502,499,99.8
index_weight_pct,%,mixed,503,500,100.0
price_usd2010_per_t,US$2010/tCO2,modelled,503,500,100.0
price_sector_usd_per_t,USD/tCO2,modelled,503,500,100.0
coverage_scope1_pct,%,modelled,503,500,100.0
coverage_scope2_pct,%,modelled,503,500,100.0
coverage_scope3_pct,%,modelled,503,500,100.0
passthrough_pct,%,modelled,503,500,100.0
carbon_cost_musd,USD millions,mixed,327,324,65.0
abatement_factor,,modelled,503,500,100.0
carbon_cost_abated_musd,USD millions,mixed,327,324,65.0
d_ebit_musd,USD millions,mixed,327,324,65.0
d_ebit_pct_of_ebit,%,mixed,307,304,61.0
d_ev_musd,USD millions,mixed,327,324,65.0
d_ev_pct_of_ev,%,mixed,322,319,64.0
model_dq,1-5,modelled,327,324,65.0
excl_12g,bool,modelled,503,500,100.0
excluded,bool,mixed,503,500,100.0
excl_articles,,mixed,67,67,13.3
excl_basis,,mixed,67,67,13.3
excl_dq,1-5,mixed,503,500,100.0
high_impact_nace,bool,modelled,503,500,100.0
penalty_usd_environment,USD,mandatory,468,465,93.0
case_count_environment,count,mandatory,468,465,93.0
penalty_usd_total,USD,mandatory,468,465,93.0
conduct_measured_zero,bool,mandatory,503,500,100.0
vendor_percentile,percentile,vendor,470,470,93.4
vendor_n_sources,count,vendor,489,486,97.2
our_percentile,percentile,modelled,503,500,100.0
rank_median,rank,modelled,503,500,100.0
rank_p05,rank,modelled,503,500,100.0
rank_p95,rank,modelled,503,500,100.0
coverage_tier,,modelled,503,500,100.0
score_mirrored_from,,modelled,3,0,0.6
provenance_class,,modelled,322,319,64.0
financial_provenance_class,,modelled,503,500,100.0
generated_at,timestamp,modelled,503,500,100.0
